,SECTION,CATEGORY,NAME,ADDRESS,RANK
0,Brags,Favorite Boss,Kurt Schmidt - Schmidt Law,,
1,Brags,Favorite Community Ambassador,Judi Thurston - United Way,,
2,Brags,Favorite Place to Work,Schmidt Law,"2505 Nash St N B, Wilson, NC 27896, United States",2.0
3,Brags,Favorite Place to Work,"Eastern Pulmonary & Sleep Medicine, P.A","2303 Wellington Dr SW c, Wilson, NC 27893, USA",
4,Brags,Favorite Community Ambassador,Nancy Sallenger - Wilson Crisis Center,,2.0
5,Brags,Favorite Community Event,Whirligig Festival,,1.0
6,Brags,Favorite New Business,Vendor Junction,"417 Nash St N, Wilson, NC 27893, USA",
7,Brags,Favorite Small Business,Vaughan's Jewelers,"2801 Ward Blvd # 3, Wilson, NC 27893, United States",
8,Brags,Favorite Boss,Gracie Evans - Gracie's Village Shops,,
9,Brags,Favorite Customer Service,Gracie's Village Shops,"4833 Nash St N, Wilson, NC 27896, United States",
10,Brags,Favorite Customer Service,Hilton's Mens & Ladies Shop,"2801 Ward Blvd Ste 3p, Wilson, NC 27893, United States",
11,Brags,Favorite Non-profit,Wilson Botanical Gardens,"1806 Goldsboro St S, Wilson, NC 27893, USA",
12,Brags,Favorite New Business,Something Old Something New,"406 Nash St N, Wilson, NC 27893, USA",
13,Brags,Favorite Boss,Mike Bell - Wilson Tobs,,
14,Brags,Favorite Community Event,Wilson Tobs Home Run for Hunger,,
15,Brags,Favorite Place to Work,Wilson Tobs,"300 Stadium St SW, Wilson, NC 27893, USA",
16,Brags,Favorite Place to Work,Wilson County Schools,,
17,Brags,Favorite Boss,Sheryletta Lacewell - Allstate,,
18,Brags,Favorite Customer Service,Sugar Plum Shoppe,,
19,Brags,Favorite 'Made in Wilson' Product,HoneyDip Butters,,
20,Brags,Favorite New Business,Casita Brewing Company,,3.0
21,Brags,Favorite Non-profit,Lane Street Project,,
22,Brags,Favorite Small Business,Sugar Plum Shoppe,,
23,Brags,Favorite Customer Service,HoneySuckle Children’s Boutique,,
24,Brags,Favorite Small Business,HoneySuckle Children’s Boutique,,
25,Brags,Favorite Community Ambassador,Dante Pittman - City of Wilson,,
26,Brags,Favorite Non-profit,Wilson Family YMCA,,
27,Brags,Favorite Customer Service,The Blue Fairy,"4916 Hayes Pl unit e, Wilson, NC 27896, United States",3.0
28,Brags,Favorite New Business,Carolina Nutrition Spot Wilson,"1700 Raleigh Rd Pkwy W #126, Wilson, NC 27896, United States",1.0
29,Brags,Favorite Non-profit,Arc of Wilson County,"509 Nash St N, Wilson, NC 27893, USA",
30,Brags,Favorite Small Business,The Blue Fairy,"4916 Hayes Pl unit e, Wilson, NC 27896, United States",1.0
31,Brags,Favorite Small Business,Treat Yo' Self Bakery,"419 Goldsboro St S, Wilson, NC 27893, United States",3.0
32,Brags,Favorite Place to Work,Wilson Community College,"902 Herring Ave E, Wilson, NC 27893, United States",
33,Brags,Favorite Boss,Lisa Patterson - The Blue Fairy,,3.0
34,Brags,Favorite New Business,Treat Yo' Self Bakery,"419 Goldsboro St S, Wilson, NC 27893, United States",
35,Brags,Favorite Boss,Steve Anderson - Truist,,
36,Brags,Favorite Boss,Dell Joyner - Joyner's Funeral Home,,
37,Brags,Favorite Place to Work,Joyner's Funeral Home,"4100 Raleigh Rd Pkwy W, Wilson, NC 27896, United States",
38,Brags,Favorite Small Business,Wilson Flowers & Market,"4017 Raleigh Rd Pkwy W, Wilson, NC 27896, USA",
39,Brags,Favorite Place to Work,Five Touch Spa & Salon,"2403 Wooten Blvd SW B-D, Wilson, NC 27893, United States",
40,Brags,Favorite Small Business,Five Touch Spa & Salon,"2403 Wooten Blvd SW B-D, Wilson, NC 27893, United States",
41,Brags,Favorite Community Ambassador,Ryan Simons - Wilson Chamber of Commerce,,
42,Brags,Favorite Boss,Jordan Godwin - Truist,,
43,Brags,Favorite New Business,Cups of Joy,"3511-B Airport Blvd NW, Wilson, NC 27896, USA",2.0
44,Brags,Favorite Non-profit,The Maggie Society,"802 Broad St W, Wilson, NC 27893, USA",2.0
45,Brags,Favorite Boss,Kelly A. Senglar-Vitale - Manual Physical Therapy,,
46,Brags,Favorite Boss,Mark Holyoak - Wilson Medical Center,,
47,Brags,Favorite Place to Work,Wilson Physician Services,,
48,Brags,Favorite Boss,Alex Smolen - Treat Yo Self Bakery,,
